name,C,Si,Mn,Cr,Mo,V,W,P,S,Co,Ni,Nb,Al,Cu,N
F1,8.2,0.57,0,64.75,0,0,0,0.009,0.037,0,0,0,0,0,0
F2,0.14,75.2,0,0,0,0,0,0,0,0,0,0,1.4,0,0
F3,0,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,0,67.01,0,0,0,0,0,0,0,0,0,0
F5,0.019,0.52,0,0,68.44,0,0,0.03,0.069,0,0,0,0,0,0
F6,0,0,0,0,0,78.02,0,0,0,0,0,0,1.48,0,0
F7,0,0.35,0,0,0,0,76.58,0,0,0,0,0,0,0,0
F8,0.25,2.79,0.22,0,0,0,0,0.18,0.07,0,0,63.7,0.69,0,0
F9,0,0,0,0,0,0,0,0,0,0,0,65.36,0.49,0,0
F10,0,0,0,0,0,0,0,0,0,99.88,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0,99.88,0,0,0,0,0
F12,0,0,0,0,0,0,0,0,0,99.72,0.21,0,0,0,0
F13,0,0,0,0,0,0,0,0,0,99.72,0.21,0,0,0,0
F14,0,0.42,0.71,0,0,0,0,0,0,0,0,0,97.17,0,0
F15,0.08,0.74,0,69.6,0,0,0,0.026,0.009,0,0,0,0,0,0
F16,6.75,0.38,76.21,0,0,0,0,0,0,0,0,0,0,0,0
L1,0.01,0.09,0.4,0.05,0.03,0.05,0,0.005,0.003,0.1,48,0,0.005,0,0
L2,1.03,0.35,0.5,1.5,0,0,0,0.028,0.01,0,0,0,0,0,0
L3,0.37,1,0.4,4.9,1.3,0.6,0,0.02,0.004,0,0.25,0,0,0,0
L4,1,0.38,0.7,5.1,1.05,0.3,0,0.025,0.02,0,0,0,0,0,0
L5,0.38,0.35,0.5,4.85,2.75,0.45,0,0.02,0.005,0,0.25,0,0,0,0
L6,1.55,0.43,0.35,11.25,0.71,0.71,0,0.028,0.015,0,0,0,0,0,0
L7,1.21,0.24,0.29,11.48,1.25,1.33,2.1,0.025,0.007,0.1,0.62,0,0,0,0
L8,0.79,0.3,0.27,8.59,1.96,0.86,1.95,0.023,0.006,0.16,0.45,0,0,0,0
L9,2.05,0.35,0.4,11.5,0,0,0.65,0.03,0.03,0.2,0.2,0,0,0,0
L10,0.6,0.6,0.6,17,1,0.12,0,0.025,0.005,0,0,0,0,0,0.2
L11,1.6,0.35,0.3,11.35,0.7,0.2,0.6,0.03,0.03,0,0,0,0,0,0
L12,1.2,0.42,0.42,11.3,1.43,1.7,2.23,0.03,0.025,0.25,0.4,0,0,0,0
L13,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L14,0.9,0,0,0,0,0,0,0,0,3,0,0,0,0,0
L15,0.35,0.2,18,3.2,0,0,0,0.06,0.03,0,0.11,0,0,0,0.06
L16,0.23,0.33,0.52,9.2,1.9,0,5.15,0.03,0.025,9.5,0,0,0,0,0
L17,1.17,0.85,0.4,8.6,1.45,1.95,1.6,0.03,0.03,0.25,0.2,0,0,0,0
L18,0.9,0.4,0.3,3.8,4.7,1.7,5.9,0.025,0.02,4.5,0,0,0,0,0
L19,1.07,0.4,0.35,3.8,9,1.05,1.65,0.03,0.025,7.85,0,0,0,0,0
K1,0.1,0.3,0.9,0,0,0,0,0.012,0.01,0,0,0.03,0,0,0
K2,0.72,0.22,0.25,4.17,0.38,1.18,17.43,0.029,0.013,0.13,0.22,0,0,0,0
K3,0.9,0.35,0.35,3.9,4.7,1.7,6.2,0.03,0.02,0.6,0.3,0,0,0,0
K4,0.38,0.35,0.5,4.9,2.7,0.5,0,0.03,0.02,0,0,0,0,0,0
K5,0.38,0.35,0.5,4.9,2.7,0.5,0,0.03,0.02,0,0,0,0,0,0
K6,0.38,0.35,0.5,4.9,2.7,0.5,0,0.03,0.02,0,0,0,0,0,0
K7,0.38,0.35,0.5,4.9,2.7,0.5,0,0.03,0.02,0,0,0,0,0,0
K8,1.52,0.35,0.35,11.35,0.72,0.72,0,0.03,0.03,0,0,0,0,0,0
K9,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.03,0,0,0,0,0,0
K10,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.02,0,0,0,0,0,0
K11,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.02,0,0,0,0,0,0
K12,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.02,0,0,0,0,0,0
K13,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.02,0,0,0,0,0,0
K14,0.88,0.44,0.21,4.1,4.6,1.5,6.35,0.032,0.006,1.3,0.34,0,0,0,0
K15,0.88,0.44,0.21,4.1,4.6,1.5,6.35,0.032,0.006,1.3,0.34,0,0,0,0
K16,0.4,1,0.4,4.9,1.3,0.95,0,0.03,0.02,0,0,0,0,0,0
K17,1.5,0.35,0.35,11.35,0.7,0.7,0,0.03,0.02,0,0,0,0,0,0
K18,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K19,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K20,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K21,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K22,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K23,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K24,0.16,0.3,1.6,0.2,0,0,0,0.015,0.01,0,0,0.03,0,0,0
K25,0.04,0.3,0.53,16.26,0,0,0,0.025,0.003,0,0,0.1,0,0,0
K26,0.04,0.3,0.53,16.26,0,0,0,0.025,0.003,0,0,0.1,0,0,0
K27,0.041,0.3,0.53,16.29,0.028,0.05,0,0.025,0.003,0.026,0.19,0,0,0,0
K28,0.041,0.3,0.53,16.29,0.028,0.05,0,0.025,0.003,0.026,0.19,0,0,0,0
K29,1.2,0.42,0.42,11.3,1.43,1.7,2.23,0.03,0.025,0.25,0.25,0,0,0,0
K30,0.09,0.01,0.3,0,0,0,0,0.015,0.01,0,0,0,0,0,0
K31,0.05,0.8,1.5,17.5,0,0,0,0.04,0.02,0,8.5,0,0,0,0
K32,0.05,0.8,1.5,17.5,0,0,0,0.04,0.02,0,8.5,0,0,0,0
K33,0.004,0.007,0.037,0.008,0.002,0.001,0.003,0.006,0.004,0.002,0.004,0.002,0.002,0.008,0.0022
K34,0.4,1.2,1,28,0,0,0,0.04,0.03,0,0.6,0,0,0,0
K35,0.86,0.26,0.3,4.75,4.85,1.47,6.35,0.026,0.003,0.42,0.2,0,0,0,0
K36,0.8,0.3,0.3,4,0.6,1.5,17.7,0.03,0.03,4.6,0.5,0,0,0,0
